"","Tree.ID","id","Row","Tree","Rowf","Treef","Anth","Chl","Flav","AnthAdj","ChlAdj","FlavAdj","Allocation"
"17","1N4C7","1N4C7",1,14,"1","14",0.106909090909091,28.4856363636364,2.06054545454545,0.102692258910584,32.9461405707313,2.0146924371714,"F1"
"18","1N4C8","1N4C8",1,15,"1","15",0.0875454545454545,35.8266363636364,2.02,0.100249030404104,33.9819571915738,2.02928267941165,"F1"
"19","1N4C9","1N4C9",1,16,"1","16",0.103875,35.034375,2.128625,0.104762117447393,32.1883484234909,2.07599103110193,"F1"
"20","1N4CB","1N4CB",1,18,"1","18",0.0838181818181818,31.7022727272727,2.07454545454545,0.0922985304477359,34.9202126004765,2.06119748835542,"F1"
"21","1N4CC","1N4CC",1,19,"1","19",0.0913636363636364,38.8555454545455,2.01554545454545,0.0918791768479712,35.8017747044494,2.00364447894337,"F1"
"22","1N4CD","1N4CD",1,20,"1","20",0.109727272727273,34.491,2.118,0.0987246136997275,33.0728321573834,2.02929125260885,"F1"
"23","1N4CE","1N4CE",1,21,"1","21",0.0802666666666667,37.8579333333333,1.89,0.0867248280035993,34.9882019190744,1.95480919764769,"F1"
"24","1N4CG","1N4CG",1,22,"1","22",0.0895454545454546,37.3036363636364,1.92272727272727,0.0884871057624672,36.0432121375327,1.98086117295122,"F1"
"25","1N4CH","1N4CH",1,23,"1","23",0.0817,32.3205,2.3379,0.0908090755931654,33.0358777224195,2.22851453125887,"F1"
"26","1N4CJ","1N4CJ",1,24,"1","24",0.09875,37.75475,2.02466666666667,0.0906105989376887,36.1468720211186,2.02246479452356,"F1"
"27","1N4CK","1N4CK",1,25,"1","25",0.0784545454545455,29.8862727272727,2.02481818181818,0.084951049698276,32.3720887074192,2.02636740370124,"F1"
"28","1N4CL","1N4CL",1,26,"1","26",0.0976,27.3225,2.1553,0.0895751749888183,32.7266121263464,2.09265463718849,"F1"
"29","1N4CN","1N4CN",1,28,"1","28",0.0516363636363636,39.8504545454545,1.82863636363636,0.076744225263496,34.4697523279506,1.92431712931319,"F1"
"30","1N4CP","1N4CP",1,29,"1","29",0.0664,26.7771,2.0364,0.0819382679829134,31.2709230702042,2.03913617200684,"F1"
"31","1N4CR","1N4CR",1,30,"1","30",0.1035,31.9977,1.9736,0.092247875845428,31.5152500479522,1.99350369832,"F1"
"32","1N4CS","1N4CS",1,31,"1","31",0.0917142857142857,26.8593333333333,2.07838095238095,0.0870567716693963,31.5271195061972,2.05147559555594,"F1"
"33","1N4CT","1N4CT",1,32,"1","32",0.0764545454545455,40.4536363636364,2.04172727272727,0.0886677273668267,32.7375004952491,2.00800074404879,"F1"
"34","1N4CV","1N4CV",1,33,"1","33",0.0756363636363636,28.5181818181818,2.02227272727273,0.0859992123218712,33.0676871055896,1.99876879636215,"F1"
"35","1N4CW","1N4CW",1,34,"1","34",0.107727272727273,30.8696363636364,1.89754545454545,0.094043520505508,34.0563680629074,1.94523394660624,"F1"
"36","1N4CX","1N4CX",1,35,"1","35",0.09475,34.4904166666667,2.03016666666667,0.0923295842113451,32.6024084126361,2.00119332819857,"F1"
"37","1N4CY","1N4CY",1,36,"1","36",0.0774,44.4313,1.9807,0.0875737058402885,36.9794171816559,1.99323614920377,"F1"
"38","1N4D0","1N4D0",1,37,"1","37",0.1039,32.2058,2.0182,0.0986884173045735,33.3711946413476,2.0250358177785,"F1"
"39","1N4D2","1N4D2",1,38,"1","38",0.0861,28.2152,2.0205,0.0880779053741111,33.8586261814177,2.02407249069053,"F1"
"40","1N4D3","1N4D3",1,39,"1","39",0.0937272727272727,37.7088181818182,1.96309090909091,0.0910851696412156,34.6762784838378,1.95260135454698,"F1"
"41","1N4D4","1N4D4",1,40,"1","40",0.0772727272727273,33.6525454545455,1.926,0.0880327080649828,34.9014976732635,1.95898921702426,"F1"
"42","1N4D5","1N4D5",1,41,"1","41",0.0878823529411765,36.3702352941176,1.95952941176471,0.0891493171173629,36.4898460682056,1.97916632638938,"F1"
